Date Added,Company,Title,Location,Source,URL,Description,ATS Score,Resume Version,Status,Date Applied,Notes,Last Updated
2026-02-22,Google,Silicon System and Software Integration Engineer - University Graduate,"Sunnyvale, CA, USA",GitHub Lists,https://www.google.com/about/careers/applications/jobs/results/116256918288114374,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Roblox,2026 Software Engineer - Creator - Early Career,"San Mateo, CA",GitHub Lists,https://careers.roblox.com/jobs/7557909?gh_jid=7557909,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Twitch,Software Engineer I - Ads Demand Enablement,"San Francisco, CA",GitHub Lists,https://job-boards.greenhouse.io/twitch/jobs/8162197002,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Twitch,Software Engineer I - Builder Frameworks,"San Francisco, CA",GitHub Lists,https://job-boards.greenhouse.io/twitch/jobs/8362817002,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Amazon,Software Engineer I - Builder,"San Francisco, California, USA",GitHub Lists,https://www.amazon.jobs/jobs/3154041/apply,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Twitch,Software Engineer I,"San Francisco, CA",GitHub Lists,https://job-boards.greenhouse.io/twitch/jobs/8334351002,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Amazon,Software Engineer I,"San Francisco, CA",GitHub Lists,https://www.amazon.jobs/jobs/3144113/apply,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Chainlink Labs,Junior Data Engineer - Economics,Remote,GitHub Lists,https://jobs.ashbyhq.com/chainlink-labs/a5deb550-a1d5-44e1-8608-75d5a51026d5,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,SmithRx,Software Engineer - New Grad - Recent 2025 Grads,Remote,GitHub Lists,https://job-boards.greenhouse.io/smithrx/jobs/8431453002,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Amentum,Entry Level Software Engineer,US VA Fredericksburg,GitHub Lists,https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Fredericksburg/Entry-Level-Software-Engineer_R0154484,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Cylinder Health,Junior Data Engineer,Remote,GitHub Lists,https://jobs.ashbyhq.com/cylinderhealth/6ae48ce5-4c9b-4899-865e-5a3a562cbf2f,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,EnergyHub,Staff Software Engineer I,Remote,GitHub Lists,https://job-boards.greenhouse.io/energyhub/jobs/8414376002,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,General Dynamics Mission Systems,Junior Software Engineer,US VA Manassas,GitHub Lists,https://careers-gdms.icims.com/jobs/70992/junior-software-engineer/job,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,IXL Learning,Software Engineer - New Grad,"Raleigh, NC",GitHub Lists,https://www.ixl.com/company/jobs?gh_jid=8430279002,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Latitude,Entry Level Software Developer - Data & Database Focus,"Baltimore, MD",GitHub Lists,https://jobs.lever.co/latitudeinc/4afc4fa6-2729-4de4-89bf-cda1209fb0d8/apply,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Leidos,Junior Software Engineer,Arlington VA,GitHub Lists,https://leidos.wd5.myworkdayjobs.com/en-US/external/job/Arlington-VA/Junior-Software-Engineer_R-00176480,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Leidos,Junior AI Software Engineer,Eagan MN,GitHub Lists,https://leidos.wd5.myworkdayjobs.com/en-US/external/job/Eagan-MN/Junior-AI-Software-Engineer_R-00176461,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Rocket Lab,Software Engineer I/II - Operational Data,"Long Beach, CA",GitHub Lists,https://job-boards.greenhouse.io/rocketlab/jobs/7609095003,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,TWG Global AI,Associate Software Engineer - AI Engineering,"Santa Monica, California, US",GitHub Lists,https://apply.workable.com/twgai/j/BA666BB5DE/,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Amentum,Junior Software Developer,US VA Merrifield,GitHub Lists,https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Merrifield/Junior-Software-Developer_R0154496,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,LexisNexis Risk Solutions,Software Engineer I,"Alpharetta, GA",GitHub Lists,https://relx.wd3.myworkdayjobs.com/en-US/risksolutions/job/Alpharetta-GA/Software-Engineer-I_R104483,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,OE Federal Credit Union,Junior Software Developer,US CA Livermore,GitHub Lists,https://careers-oefederal.icims.com/jobs/1882/junior-software-developer/job,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
2026-02-22,Unisys,Junior Cloud/Cyber security Engineer,"Remote, PA, United States of America",GitHub Lists,https://unisys.wd5.myworkdayjobs.com/en-US/external/job/Remote-PA-United-States-of-America/Junior-Cloud-Cyber-security-Engineer_REQ571030,Sourced from community GitHub repository: NEW_GRAD_USA.md,,,NEW,,,2026-02-22 21:17:45
